Name,Category,Region,Info
A Trip through History,Side Quest,West Necluda,"How to Begin:Speak with Bugut, a traveling historian wandering up and down the central road in Kakariko VillageSolution:Read the four following slabs:Deciphered SlabsDeciphered SlabsDeciphered SlabsDeciphered SlabsReward:Thunderwing Butterfly x3"
"A Way to Trade, Washed Away",Side Quest,East Necluda,"How to Begin:Talk to Garini after completing bothVillage Attacked by PiratesandLurelin Village Restoration Project.Solution:Go toTenoko Island. Bring parts necessary to power and steer all 3 boats found there. Take them way back to Lurelin Village.Reward:Star Fragment and Garini's ""shop"", where you get everything for free."
A Wife Wafted Away,Side Quest,Lanayru Great Spring,"How to Start:Speak to Fronk after the main quest.Solution:Go back up to Wellsprings Island, either by the waterfall or by teleporting toIgoshon Shrine. To the southeast of the shrine, a campfire can be seen. Talk to Mei.Reward:Hearty Fish Skewer,"
A-nehi Lightroot,Lightroot,Depths,
Abandoned Eldin Mine,Landmark,Depths,
Abandoned Gerudo Mine,Landmark,Depths,
Abandoned Hateno Mine,Landmark,Depths,
Abandoned Hebra Mine,Landmark,Depths,
Abandoned Kakariko Mine,Landmark,Depths,
Abandoned Kara Kara Mine,Landmark,Depths,
Abandoned Lanayru Mine,Landmark,Depths,
Abandoned Lurelin Mine,Landmark,Depths,
Abandoned Tarrey Mine,Landmark,Depths,
Addison's Fabric,Paraglider Fabric,Akkala Highlands,"After completing all 81 Hudson signs, Addison gives you this fabric (whichever location you did the last sign, he then returns to Tarrey Town)"
Aduon Lightroot,Lightroot,Depths,
Aerial Cannon,Yiga Schematic,Depths,Defeat the Yiga clan member driving around with the red glow to unlock the door
Aerocuda Fabric,Paraglider Fabric,East Necluda,"Required:CompletePhotograph a ChuchuTake a picture of an Aerocuda, then show the new fabric reference to Sayge at theKochi Dye Shop."
Agaat Canyon Mine,Landmark,Depths,
Agihi-ihcoj Lightroot,Lightroot,Depths,
Akinatanis Lightroot,Lightroot,Depths,
Akkala Ancient Tech Lab,Tech Lab,Deep Akkala,"To enter, ascend through the statue in The Depths"
Akkala Citadel Ruins Cave,Cave,Akkala Highlands,"Location:On the side of the mountain, at the same elevation as the ruined bridge.Bubbulfrog:In the main cavern with the Horriblins, there's a cracked wall near the top. Destroy the wall to access an additional area with the Bubbulfrog.Inside the Cave:Fierce Deity ArmorGuard's Sword Stick [Chest]Soldier's-Broadsword Halberd [Chest]"
Akkala Citadel Ruins Summit Cave,Cave,Akkala Highlands,"Cave Entrance:Inside the ruins, there will be a small hole in the wall you need to crouch through to a secret room. Drop down into the hole in the floor.Bubbulfrog:On the side of the cave, destroy the crates and reveal a small tunnel you can crouch through. Bubbulfrog is in the next room.Inside the Cave:Fierce Deity ArmorGuard's-Sword Stick"
Akkala House of Bones,Landmark,Depths,
Amakawis Lightroot,Lightroot,Depths,
Amber Dealer,Side Quest,Eldin Canyon,How to Begin:Talk to RamellaSolution:Bring her 10x AmberReward:200 RupeesRamella's ore trading service.
Amber Earrings,Armor,Gerudo Desert,Price:400 RupeesLocation:Starlight Memories(Jewelry Shop)Stats:4 Defense
Amo-ne Lightroot,Lightroot,Depths,
An Eerie Voice,Side Adventure,Faron Grasslands,"Previous Side Adventure:Potential Princess SightingsHow To Begin:Speak to Penn outside theHighland StableLocal folks report hearing a voice that sounds like Princess Zelda, crowing night after night.Reward:Rupees, amount depends on your ""base pay"" for the Lucky Clover Gazette"
An Uninvited Guest,Side Quest,Hyrule Field,How To Begin:Talk to Ami atWetland StableClear theEnemy Campoutside theWetland Stable South Well. You can use theWetland Stable Wellnearby to use the passage underground and sneak up behind the enemies!Reward:2 Pony Points
Ancient Altar Ruins,Cave,Gerudo Desert,"Cave Entrances:Drop into the quicksand pitBubbulfrog:On the ceiling, in the room with the armor.Inside the Cave:Phantom GreavesTopaz [Chest]Gerudo Shield [Chest]Gerudo Scimitar [Chest]Gerudo Bow [Chest]"
Ancient Blades Below,Side Quest,Depths,How to Begin:Speak to one of the Mining Constructs after completingGuidance From Ages Past.Solution:Give him the 50 Zonaite in exchange for an Ancient Blade.Reward:Ancient BladeAbility to trade 50 Zonaite for an Ancient Blade
Ancient Columns Cave,Cave,Tabantha Frontier,Cave Entrances:Press theButtonthat's on top of the pillarBubbulfrog:Jump into the hole to the left of the shrine containing the treasure chestInside the Cave:??Tunic of Awakening
Ancient Hero's Aspect,Armor,Great Sky Island,"Set:Ancient Hero's AspectLocation:Appears behind the Goddess Statue in the Temple of Time, after completingThe Shrine Explorer,Stats:12 DefenceArmor Effect:None"
Ancient Observation Deck,Landmark,Depths,
Ancient Prison Ruins,Cave,Gerudo Desert,"Cave Entrances:Ancient Prison Ruins EntranceBubbulfrog:In the lower under-cell floor, there will be a ramp of rumble leading up to a cell with falling floor tiles. Stand on the falling tiles and descend into a different under-cell floor with the Bubbulfrog on the ceiling. ( -3210, -3210, -0047)Inside the Cave:Chichim Shrine: After grabbing the Gerudo Scimitar, Ultrahand reveals two movable blocks of stone hiding a lever. Pull the lever to access the shrine.Purple rupee [Chest]: In a gated-off room. Come in from below.Topaz rupee [Chest]: In a gated-off room. Come in from below."
Ancient Tree Stump,Landmark,Hyrule Field,
Ancient Tree Stump Cave,Cave,Hyrule Field,"Cave Entrances:??Bubbulfrog:Hanging against a root, near the bottom of the cave on the eastern side.Inside The Cave:Fierce Deity BootsLike LikeOre NodesBomb Flowers"
Ancient Underground Fortress,Landmark,Depths,
Ancient Zora Waterworks,Cave,Lanayru Great Spring,Cave Entrances:In the center of the whirlpool.Bubbulfrog:Highest level in cave along north west wall.Inside the Cave:Zora Greaves (After completion of the Water Temple)Zora Sword [Chest]Opal [Chest]Zora Shield [Chest]Zora Longsword [Chest]Large Zonai Charge [Chest]: It is beneath some thorns. Create a roof using the wood planks to prevent the water from putting out the fire
Anedamimik Shrine,Shrine,East Necluda,"A Retraced PathLocation:4235, -2174, -0012 -Deepback Bay Cave- In the flooded moat. To access, drop down and destroy the cracked boulders behind the Like Like.Solution:Wait for the ball to roll almost inside the pit, then Recall it.While the ball Recalls, hit the crystal; this should place the socket in the ball Recall line and open the door to the end statue.Treasure:Large Zonai Charge - After hitting the crystal, head right and Ascend through the platform to the chest."
Anonisik Lightroot,Lightroot,Depths,
Apapes Lightroot,Lightroot,Depths,
Apogek Shrine,Shrine,Lanayru Great Spring,"Wings on the WindLocation:3885, -0214, 0164 - Under a rocky overhang, above Lanayru Bay.Solution:Ultrahand one of the floating Wings. Then, Attach the ball to it, and use the launch rail to glide it to the lower platgorm.Glide to the lower platform, and place the ball in the socket to open the door.In the next room, glide up the Fan to the higher ledge, then grab both Fans from the lower level.Attach both Fans to a Wing, then launch it on the rails and ride it to the end statue.STreasure:Strong Zonaite Spear- In the 2nd room, on a tall pillar. After gliding up, Ultrahand the Fan just underneath the pillar and glide to the top."
Applean Grove,Landmark,Depths,
Aquame Bridge,Landmark,Hyrule Field,
Aquame Lake Well,Well,Hyrule Field,Near a patrolling Moblin
Arbiter's Grounds,Landmark,Gerudo Desert,
Archaic Legwear,Armor,Great Sky Island,Set:ArchaicLocation:Room of Awakening in a chest near the door leading outside to the Great Sky Island.Stats:1 DefenseArmor Effect:None
Archaic Tunic [Chest],Armor,Great Sky Island,"Location:Pondside Cave- In a little outcropping, by the eastern entrance.Coordinates:0239 -1558 1365"
Archaic Warm Greaves,Armor,Great Sky Island,Set:ArchaicLocation:In a chest inside the giant hollow tree.Stats:2 DefenseArmor Effect:Cold Resistance
Arusakam Lightroot,Lightroot,Depths,
Assault Cart Schematic,Yiga Schematic,Depths,Location:Kill both of the yiga clan members riding on carts and open the chest
Atun Valley Cave,Cave,East Necluda,"Cave Entrances:Atun Valley Cave EntranceBubbulfrog:Upper level, behind some breakable rocks.Inside The Cave:BubbulfrogTreasure ChestLuminous Stone VeinMultiple Gem VeinsBomb Flower [Chest]Glowing Cave Fish3x Black Horriblin"
Automated Ally Schematic,Autobuild Schematic,Depths,Location:Speak to the constructCoordinates:1641 2396 -0824
Bamitok Shrine,Shrine,East Necluda,"Rauru's BlessingLocation:Mount Dunsel Cave- At the far end of the cave, atop a high ledge past a Like Like.Solution:Walk to the end statue.Treasure:Big Battery - Just before the end statue."
Barbarian Armor,Armor,Hyrule Field,"Set:BarbarianBarbarian HelmBarbarian Leg WrapsLocation:Inside Crenel Hills Cave, past the Luminescent Stone Talus, behind breakable rocks.Stats:3 DefenseArmor Effect:Attack Up"
Barbarian Helm,Armor,West Necluda,Set:BarbarianBarbarian ArmorBarbarian Leg WrapsLocation:At the end of theRobred Dropoff CaveStats:3 DefenseArmor Effect:Attack Up
Barbarian Leg Wraps,Armor,East Necluda,"Set:BarbarianBarbarian ArmorBarbarian HelmLocation:In the middle of theWalnot Mountain Cave, jump across a gap on the higher ridge past an Ice Like.Coordinates:4051, -1877, 0155Stats:3 DefenseArmor Effect:Attack Up"
Beam Cycle,Autobuild Schematic,Hyrule Field,Location:Drop down hole in back of Resurrection Shrine Cave
Beam Turret,Yiga Schematic,Depths,
Big Rig Schematic,Yiga Schematic,Depths,
Blupee Burrow,Landmark,Depths,
Bokoblin Mask,Armor,Eldin Canyon,Location:Reward for completingThe Hunt For Bubbul Gems!Stats:3 DefenseArmor Effect:Blend in with Bokoblins
Bokoblin Mask,Armor,Akkala Highlands,Set:Kilton's Monster MasksMoblin MaskLizalfos MaskHorriblin MaskLynel MaskLocation:Koltin ShopItem #1Stats:3 DefenseArmor Effect:Blend in with Bokoblins.
Bolt Boat,Autobuild Schematic,Depths,Location:Obtained after defeating Master Kohga for the 3rd time
Bomb Bouquet,Yiga Schematic,Depths,
Boneyard Bridge,Landmark,Hyrule Field,
Boné Pond East Cave,Cave,Lanayru Wetlands,Cave Entrances:Boné Pond East Cave EntranceBoné Pond East Cave EntranceBoné Pond East Cave EntranceBoné Pond East Cave EntranceBubbulfrog:Enter from either the North or South entrance of the cave.  The Bubbulfrog is hiding behind the giant spineInside the Cave:Maoikes ShrineNPC Hino (Rescue by using Ultrahand to lift his cage)
Bottomless Cave,Cave,Great Sky Island,"Cave Entrances:Bottomless Cave EntranceBottomless Cave EntranceBubbulfrog:On the ceiling, a little way inside in front of the pit.Inside the Cave:Amber [Chest]Flame Emitter [Chest]Brightbloom Seed8x Bomb Flower1x Ore Deposit"
Bottomless Pond Well,Well,Hyrule Field,
Bravery Island,Landmark,Sky,
Bridge Of Eldin,Landmark,Eldin Canyon,
Bridge of Hylia,Landmark,West Necluda,
Bridge Schematic,Autobuild Schematic,Depths,Location:Talk to the ConstructAutobuild Item:Bridge
Brightcap Cave,Cave,Tabantha Frontier,"Cave Entrances:Brightcap Cave EntranceBubbulfrog:Just before the end of the tunnel, the path will open up to a large cavern. Look up for a ledge you can reach with Ascend.Inside the Cave:Frostbite Shirt(Chest)2x Luminous Ore Deposits"
Bring Peace to Akkala!,Side Adventure,Akkala Highlands,Previous Side Adventure:Bring Peace To Eldin!How To Begin:Speak with TorenReward:Silver RupeeMonster-Control-Crew Fabric(if all 6Bring Peaceside adventure have been completed)Next Side Adventure:None
Bring Peace To Eldin!,Side Adventure,Eldin Canyon,Previous Side Adventure:NoneHow To Begin:Talk to Toren.Reward:Silver RupeeNext Side Adventure:Bring Peace to Akkala!
Bring Peace to Faron!,Side Adventure,Faron Grasslands,Previous Side Adventure:NoneHow To Begin:Speak to FlaxelReward:Silver RupeeNext Side Adventure:Bring Peace to Hebra!
Bring Peace to Hebra!,Side Adventure,Tabantha Frontier,Previous Side Adventure:Bring Peace to Faron!How To Begin:Speak with FlaxelReward:Silver RupeeMonster-Control-Crew Fabric(if all 6Bring Peaceside adventures have been completed)Next Side Adventure:None
Bring Peace to Hyrule Field!,Side Adventure,Hyrule Field,Previous Side Adventure:NoneHow To Begin:Talk to Hoz.Reward:Silver RupeeNext Side Adventure:Bring Peace to Necluda!
Bring Peace to Necluda!,Side Adventure,West Necluda,"Previous Side Adventure:Bring Peace to Hyrule Field!How To Begin:Speak to Captain Hoz and the Monster-Control Crew, or defeat the enemy camp and speak to Captain Hot afterwardsReward:Silver RupeeMonster-Control-Crew Fabric(if all 6Bring Peaceside adventures have been completed)Next Side Adventure:None"
Bubinga Grove,Landmark,Depths,
Busus Lightroot,Lightroot,Depths,
Byroad to Lanayru Wetlands,Cave,West Necluda,Cave Entrances:Byroad to Lanayru Wetlands Cave EntranceBubbulfrog:On the ceiling near the entrance.Coordinates:1541. -0835. 0009Inside the Cave:Glowing Cave FishHot Footed FrogSticky LizardBomb FlowerBrightcapBrightbloom SeedGiant Brightbloom SeedChest (Arrow x5)Stone Talus
Calora Lake Cave,Cave,Faron Grasslands,"Cave Entrances:Calora Lake Cave EntranceCalora Lake Cave EntranceBubbulfrog:Opposite the campfire as you enter, behind the wall of breakable rocks.Inside The Cave:The Eldest Hinox BrotherArrow Chest (in the water near the Hinox)4x Gem NodesHearty LizardsGiant Brightbloom SeedsBomb FlowersBrightcap Mushrooms"
Camera Work in The Depths,Main Quest,Hyrule Field,Quest Giver:JoshaRequirements:AdvanceCrisis At Hyrule Castleuntil you activate theLookout Landing Skyview TowerReward:Unlocks: Camera on Purah PadUnlocks: Hyrule Compendium on the Purah PadZonaite x5
Camobatures Lightroot,Lightroot,Depths,
Canyon of Awakening Mine,Landmark,Depths,
Cap of the Hero,Armor,Depths,Old Map Location - ??Set:Hero'sTunic of the HeroTrousers of the HeroLocation:On top of the ruinsStats:3 Defense
Cap of the Sky,Armor,Depths,"Old Map Location - ??Set:SkyTunic of The SkyTrousers of the SkyLocation:In the hollow tree trunk, guarded by an EvermeanStats:3 Defense"
Cap of the Wild,Armor,Depths,Set:WildTunic of the WildTrousers of the WildLocation:On the jawbone of the big dragon skeletonStats:4 Defense
Cap of the Wind,Armor,Depths,Old Map LocationSet:WindTunic of the WindTrousers of the WindLocation:Must access viaTingel Island Chasmand follow the path of destroyable rocksStats:3 DefenseWARNING:The chest is protected by Phantom Ganon!
Cap of Time,Armor,Depths,Old Map Location - ??Set:TimeTunic of TimeTrousers of TimeLocation:On top stone pillarStats:3 Defense
Cap of Twilight,Armor,Depths,"Old Map Location - ??Set:TwilightTunic of TwilightTrousers of the TwilightLocation:Appears in the middle of the arena, after beatingKing GleeokStats:3 Defense"
Cape Cales Cliffbase Cave,Cave,East Necluda,Cave Entrances:Cape Cales Cliffbase Cave EntranceBubbulfrog:Past the ship inside on the ceiling.Inside the Cave:Tingle's Tights
Carok Bridge,Landmark,Hyrule Field,
Carok Bridge Well,Well,Hyrule Field,Location:BesideCarok BridgeContents:3x Fortified PumpkinCooking Pot
Cash in on Ripened Flint,Side Quest,Eldin Canyon,"How to Begin:CompleteMeat for Meatand talk to a Goron at a tableSolution:Give 20 - 100 Flint, random chance it will be ripened flint. 50 is the recommended number to give.Reward:1,000 rupees"
Castle Town Prison,Landmark,Hyrule Field,
Castle Town Watchtower,Landmark,Hyrule Field,
Cave Mushrooms That Glow,Side Quest,Tabantha Frontier,How to Begin:Speak with Meghyn or Nat nearBrightcap Cave EntranceSolution:Give the Meghyn and Nat 10x Brightcap. Enough may be found in the nearbyBrightcap CaveReward:Spicy Tomato Mushroom Stew
Cave Under Zora's Domain,Cave,Lanayru Great Spring,Cave Entrances:Behind the waterfallBubbulfrog:After swimming up the waterfall inside the cave or Ascending from the room with the chest.Coordinates:3336. 0538. 0076Inside the Cave:Vah Ruta Divine HelmZora's Domain Chasm
Cece Fabric,Paraglider Fabric,East Necluda,"The first time you speak to Sayge insideKochi Dye Shop, he'll give you a free paraglider fabric!"
Cece Hat,Armor,East Necluda,Cannot be purchased. Complete the Side AdventureTeam Cece or Team Reede?to decide if you are worthy of owning such a magnificent fashion statement.
Cece's Secret,Side Adventure,East Necluda,Previous Side Adventure:Team Cece or Team Reede?How To Begin:Speak to Sophie.Reward:10x IronshroomNext Side Adventure:The Mayoral Election
Central Gerudo Cave,Cave,Gerudo Desert,Cave Entrances:Through a sinkpit.Bubbulfrog:Behind the blue rocks on the ground at the east side of the main roomInside the Cave:Flame Emitter x3 [Chest]
Cephla Lake Cave,Cave,Eldin Canyon,"Cave Entrances:Next to the tent with the campfireBubbulfrog:Alcove on the left as you enter, next to the ore deposit.Inside the Cave:Ember Trousers(fromMisko's Cave of Chests)Fierce Deity Sword??"
Champion's Leathers,Armor,Hyrule Castle,"Location:Ignite two torches and then open the chest located in the tomb behind the throneStats:5 DefenseClue is in theZelda's Secret Well, in Zelda's Diary. If you find the armor with the clue, it will start the side questA New Champion's Tunic."
Charged Headdress,Armor,West Necluda,"Set:ChargedLocation:Dracozu Lake, follow the river and search for the tall dragon-head statues, the headdress will be hidden on an altar beneath this statue.Stats:3 DefenseArmor Effect:Stormy Weather AttackNote:Available during the main story."
Charged Shirt,Armor,West Necluda,"Set:ChargedLocation:Dracozu Lake, in a chest above where Tauro investigates a hieroglyph.Stats:3 DefenseArmor Effect:Stormy Weather AttackNote:Available during the main story."
Charged Trousers,Armor,West Necluda,"Set:ChargedLocation:Dracozu Lake, Beneath a tall dragon statue, there is a doorway with a breakable boulder behind it. The trousers are in a chest in the altar beyondStats:3 DefenseArmor Effect:Stormy Weather AttackNote:Available during the main story."
Chichim Shrine,Shrine,Gerudo Desert,"Rauru's BlessingLocation:Coordinates: -3211, -3008, -0049InsideAncient Prison Ruins.After falling into the sinkhole, head straight and Ultrahand the first gate lever. Through the gate, follow the prison hallway until you reach a Gerudo statue holding up a weapon; it's pointing towards the correct path. Go under the partially opened gate towards another Ultrahand lever. Turn right and fall into the under-cell floor. Crouch through a gap in the stone wall and look for a sand and rumble ramp up to a cell. In the cell, walk forward onto the loose floor tiles and descend into a new under-cell area. Follow the Gerudo Statue's direction forward to the lit gate. Standing in front of the gate, Ascend up through the cell floor. In the new cell, use Ultrahand to move the two stone slabs to reveal a lever. Use Ultrahand to pull the lever and open the door leading to the Shrine.Solution:Walk to the end statue.Treasure:Mighty Zonaite Spear: Just before the end statue."
Chuchu Fabric,Paraglider Fabric,East Necluda,Reward for completingPhotographing a Chuchu.
Climber's Bandana,Armor,Lanayru Great Spring,"Set:Climber'sClimbing BootsClimbing GearLocation:At the end of thePloymus Mountain Cave, after climbing to the top of the caveStats:3 DefenseArmor Effect:Climb Speed Up"
Climbing Boots,Armor,Lanayru Great Spring,"Set:Climber'sClimber’s BandanaClimbing GearLocation:InsideUpland Zorana Byroad Cave. From theeast cave entrance, keep right at the pool of water. Follow the path downward until you reach ruins. At the back of this area, there's a gate you can lift to lower the water level. Life the gate, then go right into a secret side area with a tent. Open the chest.Stats:3 DefenseArmor Effect:Climb Speed Up"
Climbing Gear,Armor,Hyrule Field,Set:Climber'sClimbing BootsClimber’s BandanaLocation:InsideNorth Hyrule Plain Cave.  In a secret cave behind the 2nd waterfall (the one before theBubbulfrog).Stats:3 DefenseArmor Effect:Climb Speed Up
Clues to the Sky,Main Quest,Lanayru Great Spring,How to Begin:Automatically started upon meeting the requirements.Requirements:CompleteThe Broken SlateReward:None
Codgers' Quarrel,Side Quest,West Necluda,"How to Begin:Speak with Trissa the Shopkeeper atHigh Spirits ProduceSolution:Clear theEnemy Camp, then speak withOlkinorSteento bring them back to the village.Reward:Endura Carrot"
Cold Endurance Contest,Side Quest,Gerudo Highlands,"How to Begin:Talk to Rahdo on top of the mountain and pay 50 Rupees.Solution:Survive a night in the cold, without using clothing.Tips:Have a minimum of twenty-five hearts to win legitimately.Equip a fire infused weapon or shieldEat food or start a fireReward:Silver Rupee."
Coliseum Ruins,Landmark,Hyrule Field,
Coliseum Ruins Cave,Cave,Hyrule Field,"Cave Entrances:Coliseum Ruins Cave EntranceBubbulfrog:At the end of a side tunnel, past the chest.Inside the Cave:Trousers of Awakening"
Construct Factory,Landmark,Depths,
Construction Site Cave,Cave,Akkala Highlands,Cave Entrances:Construction Site Cave EntranceConstruction Site Cave EntranceBubbulfrog:Right inside of west entranceInside the Cave:??
Construction Site Well,Well,Akkala Highlands,Contents:6x Zonai Components (Break through the rock barriers)
Cora Lakefront Cave,Cave,West Necluda,"Cave Entrances:Cora Lakefront Cave EntranceBubbulfrog:Way up high in the middle of the cave, on top/on the edge of one of the overhanging arches.Inside the Cave:2x HorroblinBomb Flower x3 (Chest), in the Horroblin CampAnother chest in the middle of the cave (?)Royal Halberd (Chest), in the Horroblin Camp"
Corta Lake Cave,Cave,Faron Grasslands,"Cave Entrances:On the lake bankBubbulfrog:Hidden inside one of the vertical wind tunnels.Coordinates:1702. -2953, 0154Inside the Cave:The Middle Hinox BrotherGnarled Long Stick [Chest]"
Courage Island,Landmark,Sky,
Crenel Canyon Mine,Landmark,Depths,
Crenel Hills Cave,Cave,Hyrule Field,Cave Entrances:??Bubbulfrog:In chamber behind breakable rocks found on east wall of large chamber containing Stone Talus (Luminous).Inside the Cave:Stone Talus (Luminous)Misko's Treasure:Barbarian Armor5 x Bomb Flower4 x Ore Deposit1 x Luminous Stone Deposit1 x Hearty Truffle21 x Brightbloom Seed4 x Giant Brightbloom Seed7 x Brightcap8 x Sticky Lizard
Crenel Peak Cave,Cave,Hyrule Field,"Cave Entrances:Crenel Peak Cave EntranceCrenel Peak Cave EntranceBubbulfrog:From first chamber, cut or burn vines to enter small tunnel in east wall. Break rocks while hugging north wall. Bubbulfrog is in first chamber to north.Inside the Cave:Jojon Shrine (At back of cave past breakable rocks)3 x Blue Bokoblin1 x Blue Boss Bokoblin1 x Blue Horriblin5 x Bomb Flower (In unlocked chest)1 x Bomb Flower5 x Ore Deposit1 x Luminous Stone Deposit1 x Big Hearty Truffle3 x Brightcap21 x Brightbloom Seed5 x Giant Brightbloom Seed3 x Glowing Cave Fish5 x Sticky Lizard"
